bug	s3-tool-buggy	s3-tool-developer	AST-tool-buggy	AST-tool-developer	Cosine-tool-buggy	Cosine-tool-developer	s3variable-tool-buggy	s3variable-tool-developer	capgen-tool	capgen-developer	variable-tool-buggy	variable-tool-developer	syntax-tool-buggy	syntax-tool-developer	semantic-tool-buggy	semantic-tool-developer
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.Nopol.Lang.46	7.1271284390560306	53.0063624429383	6	12	0.12712843905603055	0.006362442938294466	1	41	0.41347884788478845	0.5220041276191875	0.75	0.6434782608695652	0.7575757575757576	0.8908045977011494	0.7277227722772277	0.9106628242074928
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.jGenProg.Math.53	39.162302662056454	46.1744220525181	37	34	0.16230266205645638	0.1744220525181034	2	12	0.4381566497284037	0.5571428571428572	0.8461538461538461	0.6923076923076923	0.7527272727272727	1.0	0.6879271070615034	0.8047619047619048
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.jGenProg.Math.70	2.005063323673818	0.0	1	0	0.005063323673817899	0.0	1	0	0.4588235294117647	1.0	0.75	1.0	0.7647058823529411	1.0	0.8	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.jGenProg.Math.5	373.10861435014584	432.10861435014584	342	342	0.10861435014586951	0.10861435014586951	31	90	0.00823095683961902	0.0069784646539840095	0.6346153846153846	0.47368421052631576	0.7970049916805324	0.9043423536815607	0.016273414509506777	0.016290638395455907
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.GenProg.Closure.126	12.16965344635338	15.0	6	14	0.16965344635338042	1.0	6	0	0.006388888888888889	0.14393939393939395	0.1	1.0	0.23958333333333334	0.6168831168831169	0.26666666666666666	0.23333333333333334
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.GenProg.Closure.115	11.0	61.040801172681334	2	48	1.0	0.04080117268133665	8	13	0.0	0.25842932835660815	0.0	0.8	0.09883720930232558	0.7636022514071295	0.0	0.4230430958663149
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Closure.126.1	11.098872886220834	25.0	9	24	0.09887288622083401	1.0	2	0	0.09440829570621663	0.011404531400476457	0.6	1.0	0.4140127388535032	0.06880733944954129	0.38005390835579517	0.16574585635359115
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Closure.14.1	1.0	0.0	1	0	0.0	0.0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Chart.20.1	4.0	0.0	2	0	0.0	0.0	2	0	0.42857142857142855	1.0	0.42857142857142855	1.0	1.0	1.0	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Chart.9.1	11.096303885884936	9.00868551785232	9	5	0.0963038858849361	0.008685517852319857	2	4	0.06400742115027828	0.6	0.5	0.6	0.41818181818181815	1.0	0.30612244897959184	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Chart.11.1	2.0	0.0	1	0	0.0	0.0	1	0	0.6666666666666666	1.0	0.6666666666666666	1.0	1.0	1.0	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Chart.1.1	1.0	0.0	1	0	0.0	0.0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Chart.8.1	3.0788676270563236	4.0	2	0	0.07886762705632344	0.0	1	4	0.75	0.6363636363636364	0.75	0.6363636363636364	1.0	1.0	1.0	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Chart.24.1	2.0	0.0	1	0	0.0	0.0	1	0	0.5	1.0	0.6	1.0	1.0	1.0	0.8333333333333334	1.0
justin.Java.Defects4JUtil....Dataset_Overfitting2.Dcorrect.SketchFix.Math.59.1	2.0	0.0	1	0	0.0	0.0	1	0	0.7777777777777778	1.0	0.7777777777777778	1.0	1.0	1.0	1.0	1.0
